#"Step","Potential Energy (kJ/mole)","Temperature (K)"
100,-159475.24215441017,101.00401438798417
200,-154435.14915470657,163.24753670977628
300,-151052.91355565202,205.85960729945515
400,-149097.54507723986,236.25077501173743
500,-146978.3066959735,247.5971206854139
600,-145837.55291443894,262.37561328766367
700,-144669.3652433341,268.9167313055477
800,-144017.40843526012,280.29736335319205
900,-143622.0742258167,291.0378582347036
1000,-142965.8123218101,291.17051165015386
1100,-142144.17467711846,292.1736554099576
1200,-142006.36744055172,293.52252096484193
1300,-141646.19603127323,294.6453394669141
1400,-141911.92438003753,294.63976618467143
1500,-141367.91616193924,291.1200373729346
1600,-141694.1303125777,297.3957534785261
1700,-141409.4191691659,295.8253314487956
1800,-141060.09672816304,295.0722950361505
1900,-141075.0924758928,292.0654237544141
2000,-140821.16310699802,294.5244209049407
2100,-141322.5205318399,301.2034738217696
2200,-140725.84070731394,298.65511509544564
2300,-141192.95717091835,299.9429925658351
2400,-140695.94600296917,292.0083900004323
2500,-140662.45669374304,294.257519577465
2600,-141260.70583395413,302.38282706048574
2700,-140841.06018749415,296.3126262123208
2800,-140396.69962772352,297.5220491304314
2900,-140531.91740954007,299.3058465664547
3000,-140440.29248966847,298.1454088409719
3100,-140579.0738071394,302.70169360532884
3200,-140076.58179082657,297.2989204939295
3300,-140858.9544102029,309.2904952015472
3400,-140517.76616936037,303.6715371927837
3500,-140371.5886839886,299.0732145735422
3600,-140704.7531517084,304.6698618852238
3700,-140468.74746072644,301.97393786661115
3800,-140431.39794064156,297.35157634165404
3900,-140769.94779629423,299.23508267731796
4000,-141033.99787038076,295.48216847779605
4100,-141206.13566157076,296.42253480104705
4200,-140877.7722562045,300.32397053799815
4300,-141395.04005190512,303.94435288244034
4400,-141023.78767298764,296.5827017431015
4500,-140891.55255675426,302.0234247969975
4600,-140717.10021715495,302.59817421992454
4700,-140587.39299470466,299.3243854925337
4800,-140491.08588514512,300.39066837720674
4900,-140593.14892761232,299.60609963299623
5000,-140801.50879116543,302.06427155346114
5100,-140815.60312061978,304.6936293076289
5200,-140924.81204557142,303.4635630448588
5300,-140836.7069165205,299.68158887156955
5400,-140794.987148314,301.8523726024115
5500,-140858.94721115613,302.3564289668924
5600,-140620.8648959109,298.38236794737657
5700,-140883.50646614184,300.57473358009423
5800,-140779.30788725402,296.16357790788663
5900,-140532.50501070148,298.5310829833643
6000,-140525.33356791615,304.3054143371858
6100,-140457.53076987283,300.34964764715755
6200,-140402.7907259043,301.2736517688579
6300,-140713.76682825948,299.6494327150606
6400,-140859.1993141498,296.50831111944143
6500,-141060.2876455518,300.5424378071951
6600,-140836.25488409563,299.65764673536876
6700,-140775.79217916855,296.33038047948344
6800,-140743.26186554416,301.25593271548917
6900,-140494.88138062033,299.552909977714
7000,-140301.35406297215,303.36648642175965
7100,-140407.67882514844,301.97258287868584
7200,-140537.65754259273,300.14968612699687
7300,-140652.6958274282,301.1009750954916
7400,-140660.56852485173,305.2583765514523
7500,-140399.59308431493,299.6459449776836
7600,-140392.4385269294,301.68946331126097
7700,-140874.87767143184,303.35691008517136
7800,-140852.0310468101,297.416759837875
7900,-140977.36832566082,304.1028427092443
8000,-140590.3265777353,297.7214732652627
8100,-140900.92430173737,302.7823375199844
8200,-140424.80971036278,301.75737785483796
8300,-140245.11925749527,300.3448773550669
8400,-140370.58889460904,303.4847295511658
8500,-140215.8537435577,296.15944252832276
8600,-140382.37694549627,298.20238533574457
8700,-140349.48108206294,297.78045266234426
8800,-140722.66255333571,301.2181452049315
8900,-140166.98893665793,295.74809175682446
9000,-140297.00625914897,301.250969314273
9100,-140511.75524478758,300.8120806666184
9200,-140946.12117813123,301.57074102856404
9300,-140716.3374466314,300.42524196502103
9400,-140567.66383711726,300.3256395274927
9500,-140653.37066828247,301.43988110600304
9600,-140803.75240958578,306.14148075445536
9700,-140039.36874529914,302.20686121737805
9800,-140012.4332459461,304.0909556131301
9900,-139898.23934325407,301.69678426990964
10000,-140058.8202445442,305.6937118499975
Execution time: 0:01:36.974695
